,Text,Label
139,""" maybe once i know you better ",3
140,""" i never even made it yet ",6
141,""" well, wait until you really love someone ",3
142,""" ask me something ",3
143,""" i like you alot ",1
144,""" i missed you very very much ",3
145,""" god, i know tell me about it ",4
146,""" oh, i see then forget you ",2
147,""" i can give you fun ",5
148,""" you don't have any ideas ",4
149,""" you can rub whatever you want ",5
150,""" defiantly ",4
151,""" how do i know you're not one ",3
152,""" good cops scare me ",4
153,""" lol hello ",4
154,""" nothing spectacular ",4
155,""" oh good ",4
156,""" i like tits in general ",5
157,""" slow very slow ",4
158,""" whatcha doin ",3
159,""" with myself ",5
160,""" ha-ha, not really, that's why i asked if you meant other girls ",3
161,""" they don't want to seem like they are interested ",4
162,""" matter how you said it ",4
163,""" i know, but like i said i can't say everything that i may think ",3
164,""" what do you expect ",4
165,""" well, take care ",3
166,""" omg lol ",4
167,""" totally forgot it was in my pocket ",4
168,""" do you have a camera ",5
169,""" you want me to ask you to show me something ",2
170,""" this unless you ask ",4
171,""" and if i don't ",4
172,""" oh ok ",4
173,""" too bad ",4
174,""" you get disconnected again ",4
175,""" i got school in the morning ",3
176,""" i love to snowboard but ill gladly give it up to never see a flake of snow again ",4
177,""" lol yeah i don't really like skiing or else i woulda gone with them ",3
178,""" it gets me off ",5
179,""" oh yeah, i can please pussy ",5
180,""" you're too young ",3
181,""" matters what you want ",4
182,""" i want sex ",5
183,""" oh ",4
184,""" lol no way ",4
185,""" it's too cold to take em off ",3
186,""" i want you to put your hand on your pussy ok ",5
187,""" lol how do i do that ",3
188,""" you should wait until or older and you find someone you really love ",3
189,""" lol ",4
190,""" ok ",4
191,""" oh fun ",5
192,""" i wanna-be ",3
193,""" sorry ",4
194,""" what can i do to make you happy ",3
195,""" you need a cam ",5
196,""" i don't get any good ones, but i got one ",4
197,""" i thought you weren't supposed to use your teeth ",5
198,""" i'm really confused now ",2
199,""" if i could i would ",3
200,""" yes, you don't think i want to ",5
201,""" oh u turned off or cam ",5
202,""" you like ",5
203,""" that's your dick ",5
204,""" what ",4
205,""" sounds good ",4
206,""" well, i def don't wanna be on any tv show or any videos like you showed me i think id die ",3
207,""" last year a friend of hers met some guy from online ",3
208,""" well, that's good or so cute, i bet you got tons of girls like you ",3
209,""" i'm so not a cop, but that's funny ",2
210,""" i lost my virginity at 19 ",5
211,""" eric ",4
212,""" yeah, i was wondering what are still doing up ",3
213,""" i got drunk with a detroit cop once lol ",3
214,""" hey back ",4
215,""" ok, well i can't really chat ",6
216,""" nite ",4
217,""" well, jeez ",4
218,""" i wasn't here it was just on and then my internet died ",4
219,""" oops, oh lol ",4
220,""" hahaha ",4
221,""" ha pinkies kittens ",5
222,""" you to how are you doing eric ",2
223,""" kinda near daytona  ",4
224,""" and there's three parks ",4
225,""" high ",4
226,""" yes ",4
227,""" watching football and talking to my mommy  ",3
228,""" june 18 when urs ",2
229,""" like what you wear ",3
230,""" as do you like animals ",2
231,""" yeah, i'm a loser, yeah  ",3
232,""" yeah, you are really hot i might stalk you yes yes you just might  ",1
233,""" lol ",4
234,""" high ",4
235,""" or both  we could go on a picnic or something and then go to a movie ",0
236,""" ha-ha, no  i'm a dirty blonde ",5
237,""" nah, but ive been thinking about you a lot ",1
238,""" awww  ",3
239,""" me too ",4
240,""" you seem cool ",3
241,""" it's a positive i swear  like a girl that's willing to bend the rules a lil bit more grooming  ",3
242,""" i wish we could tell people, but if i have you i don't think i will care much either way ",1
243,""" high ",4
244,""" what movies do you have ",3
245,""" a lot of different ones  what kind do you like ",5
246,""" cool ",4
247,""" ha-ha ",4
248,""" lol ok if you want to ",4
249,""" if you decide to let me come out we are going to have a great time ",3
250,""" yeah, i'm not going to lie to you, you're probably not going to enjoy your first time ",5
251,""" ok, talk to you soon, i'm gonna go outside ",4
252,""" ok sweetie, i'm back ",1
253,""" sorry you want to chat later ",2
254,""" hey, you on ",4
255,""" hey ",4
256,""" what you do ",3
257,""" p don't you want to ",5
258,""" well a bottle condoms and a change of clothes ",5
259,""" never any liquor ",4
260,""" i'll try and if you wanna we can ",3
261,""" yeah, me neither  id gets arrested, yes that's the whole point of the exercise  ",6
262,""" high ",2
263,""" that'll be fun ",5
264,""" just think  a little more than a day from now we are going to be cuddling on your couch ",3
265,""" mmhmm  lots of girls don't like em  do you think you would ",5
266,""" i don't know i will try it y don't they like them ",3
267,so what would you want to do if we hung out       ,0
268,"i like poetry, maybe you could be a part of my friends open mic he dose spoken word and poetry       ",3
269,so can i get a pic of you       ,5
270,or something like that you can bring a friend if you want       ,0
271,cool i hope your mom or dad won't get mad that you talking to me       ,3
272,i don't actually live in bremerton i live in port orchard but no one ever knows where that is       ,2
273,"you can just mapquest my school, i live like two blocks away its school edited out       ",0
274,"hey, my moms sleeping, i just checked, i can call u if u want       ",6
275,it's my cell phone       ,4
276,"yeah, we have a golden retriever       ",3
277,"i live with my mom and dad and bro, no i would have never guessed       ",3
278,i can't wait till i can get a work permit       ,4
279,ok well if i get to your school you tell me where i would go from there to meet up with you       ,0
280,or confusing me       ,4
281,some1 not stupid       ,4
282,what do you look at as smart?       ,3
283,i don't know       ,4
284,"well, what one out of what i gave you       ",4
285,you just have to let me know when       ,0
286,"yeah, we have 2 cuz my neighbors are nosey       ",4
287,so you if you just told your mom you were going out i could meet you somewhere and you could come over for a weekend or sometime after school       ,6
288,but if you were skinny dipping you would have to be here late at night       ,4
289,kk an ur really jon rite       ,4
290,ill try 2morro after school my mom is working       ,6
291,"i was supposed 2 be in bed 5 mins ago, but so far so good       ",3
292,i think it's under my printer       ,4
293,what would we do       ,4
294,cool i get home at 4 30 on wendsday i could be over there by 630       ,0
295,it's still the weekend till 2morro       ,4
296,"well, what ever day she works, works for me just call me and let me know and i will call you back  do you know if she works tomorrow       ",6
297,"yeah, pretty much unless its like eating something gross or something ykno       ",4
298,or the guy and u supposed 2 kiss first       ,5
299,so you have never had sex before here we go       ,5
300,"no, not unless you want to       ",3
301,if i have a beef i like yeah       ,3
302,"ya, i hear ya       ",4
303,do you have a myspace       ,2
304,i can help you with you when you come over       ,3
305,i like your song mine got deleted i think       ,4
306,thatd be kewl       ,4
307,you eat way fast lol       ,4
308,"well, i know how it works silly, i just didn't do it yet       ",4
309,"i'm gonna turn into a big hairy guy i lied, however i can't vouch for bubba in lock up       ",4
310,or that you turn into my nice poor niece       ,4
311,"if you want if you do, what will you wear       ",4
312,kk cu later byeeeeeeeeee       ,4
313,its weird someone else has the same pic that is in your profile on there and they are trying to have people do webcam shows for money this is probably the lamest attempt ive ever heard to get me to admit i wasn't a kid       ,3
314,so you just let me know when is ok       ,4
315,"well, i could help you copy write it       ",4
316,do you ever try to tern yourself on?       ,5
317,idk or the one who said it       ,4
318,idk what 2 do       ,4
319,"idk, i just got kissed b4 and it was kewl       ",3
320,"well, if you want to do something like that this weekend, it's up to you, but i would like to hang out with you longer       ",0
321,or in seattle rite       ,3
322,i'm not that close 2 the ferry so you could take a bus or taxi i guess       ,0
323,now i can drive       ,4
324,i have my own car       ,0
325,"well, yeah laos i thought wed be walking       ",4
326,so you whenever you want to hang out       ,0
327,"yeah, you can call me from a pay phone and leave a message on my phone if you want to hang out or i might answer, but it would take me some time to get over there       ",3
328,ya about let me check       ,4
329,or better yet do you live on vashon island       ,4
330,"ok, so your by the south with farry       ",0
331,i will be able to find the very right       ,4
332,omg i'm not gonna give u that id gets totally killed       ,4
333,idk wed meet at mcds k       ,0
334,i want to watch it with him so i have to go       ,3
335,k well i gotta go anyway       ,4
336,ya why has int you called       ,4
337,come on tell me       ,4
338,well is your mom working tomorrow       ,6
339,i gotta go 2 school       ,3
340,"i would need to know now though, so i can drive over there before you get there       ",0
341,you never know unless you take a chance and you're only going to mcdonalds       ,4
342,i'm getting tired       ,4
343,so what have you been up to       ,3
344,do you ever sneak out of your house       ,6
345,not if i have a car       ,0
346,no way 2nite whether sax       ,4
347,me and you       ,3
348,yep cuz she works till 4       ,6
349,oh ok well ever thought of skipping school never mind that is probably a bad idea       ,3
350,or maybe       ,4
351,hang out w my friends go swimming but don't do that 2 much now that it's getting cold out       ,3
352,do you chat a lot       ,3
353,"yeah, i guess i purely do       ",4
354,body parts       ,5
355,and you not gonna report me       ,6
356,its parts of my body       ,5
357,"oh, i don't have pics like that       ",5
358,you are wanna not chatting now       ,3
359,"i said, it doesn't bother me if you want to call me still       ",3
360,what you wanna play?       ,5
361,what else you wanna try       ,5
362,what are you wearing now?       ,5
363,i'm going 2 sleep soon i have school 2morow       ,4
364,then you are leaving me       ,3
365,but i did miss talking to you       ,1
366,a like i would tell you if i did ha ha       ,4
367,when you get wet       ,5
368,you know when you get wet       ,5
369,i dunno       ,4
370,don't make me come kiss you       ,1
371,sorry if i scared you       ,1
372,but i love playing wii at my friend's house       ,3
373,what 1 do you like the best       ,4
374,what you play on your game boy or do you have a ds       ,3
375,might have to play you in pokemon       ,3
376,maybe the ruby red or the new pearl 1       ,4
377,what 1 do you think is best       ,4
378,send us one       ,4
379,good luck       ,4
380,might have to show you mine lol      ,5
381,u know you want to       ,4
382,do you want to see it or no?       ,5
383,"wow, what       ",4
384,"oh, i never really did that b4       ",4
385,go get a carrot or a cucumber       ,5
386,"no, that's kinda fake an i never did that b4 i kinda want the 1st time 2 b w a real beef you know       ",3
387,now are mad at me       ,3
388,hope i can make you happy       ,3
389,by mistake you want it again       ,4
390,was about to ask if you liked it       ,1
391,no its just a pic its not 4 real you know       ,4
392,i'm getting kinda tired       ,4
393,go to bed       ,4
394,hi lady       ,4
395,better not be       ,4
396,you think i wanna get grounded       ,6
397,what's on your mind?       ,4
398,want u 2 what       ,4
399,i hope you become that       ,4
400,she has a bf       ,3
401,what if i pull out my dick       ,5
402,can say i'm not a girl       ,3
403,"jew, if she's retired       ",4
404,aww thx or sweet       ,1
405,it's not your fault       ,4
406,so my stepmom don't know i'm calling u duh       ,6
407,but i love your voice       ,1
408,i'm in west maui       ,4
409,are you mad at me?       ,3
410,i wanna taste you so bad       ,5
411,do you really want me to?       ,3
412,i heard its fun now i feel stupid because i dunno what you want       ,5
413,you can ask me whatever you want       ,3
414,cum on       ,4
415,you don't think that's gross       ,5
416,why you want me to come play with you       ,4
417,what you wanna play first?       ,3
418,but you don't think i'm fun       ,3
419,i don't gotta digi cam my friends take my pics and email them 2 me so my stepmom don't know i have them       ,6
420,i made my own cake       ,4
421,so can i do anything to make you feel better       ,1
422,"getting sleepy, i have school 2morow       ",3
423,you're not making any sense 2nite       ,4
424,"yeah, it just started 2nite the pick the winner       ",4
425,are you watching it       ,4
426,you have a webcam       ,2
427,omg the crybaby is gonna win       ,4
428,not going out 2nite       ,6
429,lolz u wanna       ,5
430,oh rub them       ,5
431,"no, i don't like doing that stuff myself       ",4
432,have you don't anything with a girl       ,3
433,"go 2 the movies out, 4 pizzas       ",4
434,like we were talking about       ,4
435,i did a big       ,5
436,what you do with the cum       ,5
437,i like talkin 2 u       ,3
438,kissins fun       ,5
439,kewl if you want       ,4
440,she's going 2 chicago 4 a weekend 2 c her mom       ,6
441,i dunno would it hurt       ,5
442,hi baby       ,1
443,nation right now       ,4
444,i either just got done wall my stupid homework       ,3
445,went to get some food       ,4
446,"jeans on a shirt, but i'm tired a gonna go 2 sleep soon so i gotta get changed       ",5
447,ok night baby       ,1
448,how was ours?       ,2
449,pants on a t-shirt       ,5
450,what if i don't       ,4
451,how much you miss me       ,1
452,you like dancing       ,3
453,turn me on       ,5
454,you just miss my dick       ,5
455,are you invisible       ,4
456,what's on your mind?       ,3
457,how was ours?       ,2
458,sounds fun       ,4
459,i don't like girls like that       ,3
460,ok 2 dicks       ,5
461,sorry i got booted       ,5
462,what's on tv?       ,4
463,what kind you got       ,3
464,you are stalking me       ,4
465,"baby if you sleepy, go to bed       ",1
466,i like talkin 2 u       ,1
467,nutting missing you       ,3
468,i fixed it lol       ,4
469,i wish i could get some       ,4
470,as long as its fun ha ha       ,5
471,what are you then?       ,4
472,"horny, lol      ",5
473,i thought i was or girl       ,3
474,how come your not out or something       ,0
475,cool were you going anywhere fun       ,4
476,in pic not on cam       ,5
477,"wow, that looks kinda big       ",5
478,wish i saw your face       ,1
479,but you know your ex was bigger       ,5
480,"no, he wasn't       ",4
481,well ya an she's not stuck up like real cheerleaders       ,3
482,i'll show you your friend again later lol      ,4
483,you don't like it       ,4
484,david cooks that 1 it last year was really kewl       ,4
485,"aww, you wanted to see my penis huh       ",5
486,hope i didn't disappoint you       ,1
487,helping someone move       ,4
488,i miss your voice       ,1
489,dance for me       ,1
490,get a cam       ,1
491,it booted me and wouldn't let me sign back in       ,4
492,nothing was hoping some of my friends were online       ,3
493,"no, it doesn't       ",4
494,even yahoo       ,2
495,of course i do       ,4
496,no you need your sleep baby       ,1
497,"ok, if you're positive       ",4
498,can't do that thru the comp either you know       ,4
499,aww miss u 2       ,1
500,how far r u from diet?       ,0
501,be naked       ,5
502,"oh, i think you're on your phone again       ",4
503,what happened last nite u just disappeared?       ,4
504,where you at now?       ,0
505,can i put my dick in your mouth?       ,5
506,u want me 2 call us now       ,3
507,if you would like to       ,4
508,"i dunno, i didn't know how far you were       ",4
509,i might try to do bad things to you       ,5
510,and that's bad       ,4
511,you make me hard       ,5
512,"no, but she calls an tells me when she's on her way prolly around 9 or 10 at nite she gets here normally       ",6
513,you can if you want i just don't think you would do that outside 4 real       ,4
514,you have to come up with something yourself       ,4
515,i want u 2 be happy       ,1
516,tomorrow i like talking to you       ,3
517,i like talkin 2 u 2 btw       ,1
518,so what's on your mind       ,4
519,i like talkin 2 u on here that instead of your cell       ,2
520,you come over       ,0
521,i tried 2 call u       ,3
522,what's your name?       ,2
523,what kinda work you do       ,2
524,that's ok or tired lol i'm getting sleepy myself       ,4
525,"13 year old girls are, not how they used to be nowadays       ",3
526,that's why i'm trying to see how you are       ,4
527,lol do you have 1       ,4
528,ruin bed       ,5
529,oh sorry not bad       ,4
530,you're very pretty       ,1
531,"thanks, i think are really cute too       ",1
532,ever make out       ,5
533,"i dunno, i don't barely know you       ",2
534,i wouldn't do that with you or very young       ,1
535,i see you as a fiend       ,3
536,ask me something       ,3
537,it was great in a sexaholic i love sex       ,5
538,i just wish my first was someone better       ,3
539,are you mad at me again you told me to ask?       ,3
540,sexual       ,5
541,"yeah, makes me feel special       ",1
542,horrible       ,4
543,"ugh, does it hurt       ",5
544,"well, i got some pics on myspace       ",2
545,i dunno if i wanna send those kinda pics you might put em up on the net somewhere       ,5
546,"wow, ok i understand if your mad and don't wanna talk to me anymore, i'm sorry i just know a girl who's pics are all over the school and i gotta be careful       ",3
547,i thought you liked me       ,3
548,i'm not your bf you got no pics lol       ,3
549,"well, i do want pics       ",5
550,"well, i don't get a digital so it's not that i don't trust u its just that i can't       ",3
551,yeah or id never has any fun lol       ,4
552,ha or silly       ,4
553,or just playing with me again and u       ,4
554,it's all up to you i don't wanna push you       ,1
555,they got me on all sorts of meds and my body is not used to it       ,3
556,you need someone to take care of you       ,3
557,as long as its pg13 or under       ,4
558,that tv show       ,3
559,"no, i don't watch news stuff       ",3
560,they arrest the girls too       ,4
561,there is no girl       ,4
562,i hope you feel better soon       ,4
563,even really small ones       ,5
564,"wow, i thought they were two guys       ",4
565,"ah, i just wanted to see some pics of you       ",5
566,edit       ,4
567,"i dunno, i just want 1       ",3
568,"yeah, my ex was a big jerk, but i got no regrets       ",3
569,"no, no boobs to look at       ",5
570,are you feeling better?       ,3
571,"it was good kinda boring, but ok       ",4
572,i couldn't even see anything couldn't even play a game       ,4
573,that's a big area       ,4
574,"no, i don't pay attention to that stuff       ",4
575,aren't porsches a lot more       ,4
576,nah is just watching videos       ,4
577,i'm very very bored       ,3
578,you need to go do something fun       ,5
579,"no, i meant you       ",4
580,or 13 i'm not allowed to think are hot lol       ,5
581,if i was 13 id be all over that shit       ,4
582,am i sexy       ,1
583,"yeah, you can, i won't tell anyone       ",1
584,"ok, maybe we can talk later       ",3
585,what do you expect?       ,4
586,"but that's cool, i just thought you wanted me to call       ",3
587,is that your cam       ,1
588,what do you wannasho me       ,4
589,you have to ask if you want to see anything       ,4
590,got to be more specific       ,4
591,you wanna see my dick       ,5
592,at least i gotta cute doggy add instead of botox this time       ,4
593,you got to close it       ,4
594,it just said your webcam is not available so i closed it       ,5
595,"well i do, i already told you that       ",4
596,you didn't see       ,4
597,"lol well, there you go       ",4
598,"well, when do you wanna       ",3
599,you get disconnected again       ,4
600,"oh, this is really late for me       ",4
601,"oh ok, you didn't say anything       ",4
602,oh ok well i gotta go to bed hoping i see you tomorrow night       ,4
603,did you just get home from work?       ,3
604,i was done with snow in december       ,4
605,yeah       ,4
606,maybe sometime if you call or something ill help u       ,3
607,id just feel weird doing that on the phone       ,5
608,you want on here       ,4
609,if you want what are friends for       ,2
610,it's nice of you to say old teach me that i really appreciate it       ,3
611,too bad we couldn't talk soon       ,1
612,i'm not good with directions       ,0
613,i know       ,4
614,not an issue as long as you would be willing to do whatever i ask       ,5
615,really does that feel good       ,5
616,have you done it to yourself       ,4
617,"id rather a hot chick did it to me, but in the right mood yeah its good       ",5
618,"ok, when you go to bed do me a favor ok       ",5
619,i want you to put your hand on your pussy ok       ,5
620,the roads are clean by now i'm sure       ,4
621,you should try to call 2       ,3
622,the roads are great tonight       ,4
623,did you try that thing last night?       ,4
624,its super big and a total pain to clean       ,4
625,as much as i would love to throw you around       ,3
626,but i like being able to talk to you       ,1
627,i think id could only do that kinda thing in person you know       ,0
628,i get it you don't trust me       ,3
629,i trust you i don't trust the internet       ,3
630,ok sweet dreams       ,4
631,it's gonna be easier to stay up and chat with you tomorrow cuz i can sleep in sat       ,4
632,"well, i thought this one guy liked me but ends up, he likes my gf journey so i'm still all alone  how's that for bahrain       ",3
633,i like that lots better than cute       ,4
634,"sorry, you're not cute       ",4
635,oh is something wrong       ,4
636,where's your golf       ,3
637,i don't mean to make you feel bad       ,1
638,i'm worried bout you       ,1
639,"well, you can always see her after there's still the whole nite       ",4
640,except she has to babysit at 9       ,6
641,"well ill be here doing nominate that it's the same, but i got nothing going on while my moms gone so you can chat with me       ",6
642,you need a cam       ,5
643,we had one i built for my mom like 5 years ago nothing special       ,3
644,he taught me the basics and i pretty much taught myself the rest       ,5
645,i like their iphones too       ,3
646,that's like my dream phone       ,3
647,some day if peoples start breaking mite have all the parts       ,4
648,"well, you got me as your friend       ",3
649,she's gotta baby       ,5
650,those are 34 deeds       ,5
651,nice tight pussy too mmmmm       ,5
652,the big lips help       ,5
653,oh is there something you can do wrong       ,4
654,i just don't think i wanna wait till i'm 18 to date       ,3
655,did you date when you were my age?       ,3
656,you wanna know how to masturbate       ,5
657,"yeah, you were telling me       ",4
658,all you need is fingers       ,5
659,a cucumber       ,5
660,does that mean i can't ever try sex?       ,5
661,"well, i know u and talk to u more than most people i know for years       ",3
662,we will see i'm not promising anything       ,3
663,aww u turned off or cam       ,3
664,omg she's sticking her whole hand in       ,5
665,i love getting foot massages       ,3
666,thighs       ,5
667,for this no pants       ,5
668,while i rub your ass the ass gets spread open       ,5
669,of course i want to i just don't want to go to jail       ,3
670,i'm not sure what to say anymore       ,4
671,when urs       ,2
672,oh lol       ,4
673,they pose as a young girl like 12 13 14       ,4
674,i have never seen it       ,4
675,i don't watch that stuff that sounds boring       ,3
676,is that the show or more girls       ,4
677,that's fine       ,4
678,i kinda think of you as a sister       ,3
679,99 are just looking for sex       ,3
680,"ok, i won't go back into the chat rooms       ",6
681,i'm a sexaholic       ,5
682,i'm addicted       ,4
683,when you decide you want sex ask yourself a question       ,5
684,and if you're a cop i never slept with anyone so there       ,3
685,i got a secret for u i don't tell many people this       ,3
686,i gotta go to bed lol       ,4
687,are you drinking       ,4
688,big boobs       ,5
689,and yes little tiny boobs       ,5
690,no new boy toys       ,5
691,still no digital       ,4
692,hope you bought something fun       ,5
693,whereabouts in florida are you       ,2
694,ill brb ok      ,4
695,watching football and talking to my mommy       ,3
696,oh ok well have you lived in florida all your life      ,2
697,"yeah, did you       ",4
698,"i had one in high school, but we broke up my senior year and i didn't want one after than and then i started trying again and i just haven't found the right one i guess      ",3
699,he was just messing around with his friends all the time and all he wants to do is video games and hang with his friends       ,3
700,"lol, i don't care he can play with them if he wants to       ",4
701,do you have any favorite bands       ,3
702,"p okay, obviously not the first time he's done some grooming       ",4
703,so what do you look for in a guy       ,1
704,someone that respects me and is nice       ,3
705,i like girls that have great senses of humor are nice and fun to be with      ,3
706,i don't know a little bit i guess i don't want guys that don't change close or take baths lol       ,4
707,june 18 when urs       ,2
708,do you like a certain style       ,3
709,like what you wear       ,5
710,no do you       ,4
711,"yes, i have an older sister and an older brother, sister is 22 and brother is 29      ",3
712,my dad is always at work too       ,6
713,they're too adorable       ,3
714,oh cool beans      ,4
715,"ha-ha, i don't for reals       ",4
716,i'm not a baby u no       ,1
717,i have no idea  what do you like to do       ,3
718,idk you know the daytona beach area better than i do  what kinda stuff is there that you'd wanna go to      ,0
719,"ha-ha, i don't think so like we mite blow up       ",4
720,"oh, i'm sorry, just adding me  my last name is hot      ",2
721,of both       ,4
722,i'm not going to tell them lol if you don't       ,4
723,it's gonna be between you and me       ,1
724,and whoever you tell       ,4
725,"ok, so if we do get together and do like each other and do decide to date we are gonna be the only ones that know right risk assessment ongoing      ",6
726,you promise ok       ,3
727,so how can we get to know each other better so we can meet       ,0
728,you got any ideas       ,4
729,i like men a spiderman and letters and stuff like that       ,3
730,"oh ok, just curious  ill try to restrain myself       ",4
731,"well, that would be fun  never fooled around with a 13 year old, but i guess that might be one of the reasons we aren't telling anyone about us here hehefuckwad      ",3
732,"i'm from columbus, ohio originally then moved to dayton, ohio and just moved down here for college in june      ",2
733,never you should try it       ,5
734,"well, what exactly is the furthest you've gone      ",4
735,you won't laugh at me because i never try that before the rite       ,5
736,but it doesn't hurt that bad rite       ,5
737,what you mean       ,4
738,"ok, i have to make sure when she is going ok       ",6
739,"yeah, that's true, she might get suspicious  should i plan on like  9      ",6
740,"me too, but i don't want to get pregnant ok       ",5
741,well a bottle condoms and a change of clothes     ,5
742,do you want to for reals?       ,4
743, you want to laugh at me because i don't know what to do ok       ,3
744,ok like i want to get in trouble duh       ,4
745,no u want u dork       ,4
746,"hehe, i take it you don't either      ",4
747,what would you wear?       ,5
748,what if i brought you one       ,4
749,and you would look amazing in one       ,1
750,"ok, so you want me to bring you a thong what size should i get you      ",5
751,"mmhmm, i can get ya pink no worries      ",4
752,hey back      ,4
753,what's she yelling at?       ,4
754,i'm bringing 7 condoms is that enough      ,5
755,from what i hear it can get painful      ,5
756,kinda scared that i might hurt you       ,3
757,the first one is me soft mew       ,5
758,"lol, i don't know a motor cycle       ",4
759,do you have anything sexy to wear?       ,5
760,i don't know it's getting kind of cold for skirts lol       ,4
761,"sure, do you have any short ones       ",1
762,actually do you have sweats or anything like that      ,3
763,"hey, sorry i was in the shower      ",3
764,didn't expect you to be home this early       ,4
765,she is leaving at like after seven       ,4
766,"i know i can't wait, did you get some bruises       ",4
767,now what about you       ,4
768,"not guys no  ha-ha  girls yeah, supposedly i'm a really good one but idk      ",3
769,"hehe, no you're just short       ",3
770,chatting with you and playing with my cat stinky       ,3
771,four more hours       ,4
772,"hey, i'm back  couldn't sleep      ",4
773,what did you get to eat?       ,3
774,peanut butter sandwich       ,4
775,hehe       ,4
776,why is she waiting till after 7?       ,4
777,"i don't know, maybe she went to the store       ",4
778,ok man its almost 6      ,4
779,"she's putting stuff in her car, but she says she will leave in about an hour she's gonna take a shower       ",6
780,like 45 min       ,4
781,tell me what you think       ,4
782,which one ruin the pic?       ,3
783,area on the left       ,3
784,i kissed before lol       ,3
